Last Name,First Name,Country,Occupation,Event ID 1,Event ID 1 Citations ,Event ID 2,Event ID 2 Citations,Event ID 3,Event ID 3 Citations,Event ID 4,Event ID 4 Citations,Event ID 5,Event ID 5 Citations ,Event ID 6,Event ID 6 Ciation,Event ID 7,Event ID 7 Citation
Rahnema,Madjid,Iran,"Deputy Chief, U. N. Department",AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Rama Prasad Manandhar,,Nepal,Professor; Government minister,AAConfBandung,,,,,,,,,,,,,
Ramadan Bey,Mohamed Hafiz,Egyot,member of Egyptian Parliament,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Ramelan,Utojo,Indonesia,,AAConfBandung,,,,,,,,,,,,,
Ramirez,Armandon,,particpant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Ranaivo,R. ,Madagascar,,1IntBW,UNESCO 192,,,,,,,,,,,,
Ransom,Llewellyn,,,ConfA,"Geiss, The Pan-African Movement, 382",,,,,,,,,,,,
Ransom,Mrs. Pearl,,participant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Ransom,R. C.,United States,bishop,4PanCong,"Geiss, The Pan-African Movement",,,,,,,,,,,,
Raschid,U ,Myanmar,Minister for Trade Development and Labor,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Rashidov ,Sharaf,Russia,,1AAWConf,,,,,,,,,,,,,
Ratanadib,Luang,Thailand,,AAConfBandung,,,,,,,,,,,,,
Raza,N. A. M. ,Pakistan,Diplomat,AAConfBandung,,,,,,,,,,,,,
Reddick,Dr. L. D. ,,participant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
RenÃ©-Boisneuf,Achille,French Antilles,,1PanCong,"Geiss The Pan-African Movement 238; Adi, Pan-Africanism 145",,,,,,,,,,,,
Ribeiro,A.F.,Gold Coast (Ghana),Attorney,1PanConf,Hooker 21,,,,,,,,,,,,
Richards,E. A. ,West Africa,Sierra Leone Railwaymen's Association,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Richardson,Maude B. ,,participant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Ring Hei,Sue,Korea,Korean Association in Paris,2LAI,"Petersson, ""We Are Neither Visionaries Nor Utopian Dreamers""",,,,,,,,,,,,
Robeson,Paul,United States,Chariman/actor/activist,ConfA,https://www.bolerium.com/pages/books/3949/council-on-african-affairs-max-yergan-with-paul-robeson/proceedings-of-the-conference-on-africa-new-perspectives-auspices-of-the-council-on-african; Proceedings of the Conference on Africa pamphlet,,,,,,,,,,,,
Roland-Holst,Henrietta,Holland,author,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Romualdez,Miguel Z. ,Philippines,Professor; Army major; Politician,AAConfBandung,,,,,,,,,,,,,
Romulo,Carlos P. ,Philippines,Ambassador to the U.S.; Diplomat; Politician; Writer,AAConfBandung,"""Zhou Enlaiâ€™s Speech at the Political Committee of the Afro-Asian Conference""; Wright, Colored Curtain 1064",,,,,,,,,,,,
Rosemond,Henry,United States,The Furriers Union in NY; USA LAI Section; Hatitian Patriotic Union,2LAI,"Petersson, ""We Are Neither Visionaries Nor Utopian Dreamers""",,,,,,,,,,,,
Ross,Dr. Emery,,participant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Rowan,Carl ,United States,,AAConfBandung,,,,,,,,,,,,,
Roy,M. N. ,India,communist,WAC,"Makalani, ""An Incessant Struggle"" 187",,,,,,,,,,,,
Rueff,Gaston,France,Staff of the French press; French Committee of National Liberation,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Russbueldt,Lehmann,Germany,Secretary League for the Rights of Man,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Russell,Charles Edward,United States,Writer,1PanCong,Adejumobi; Contee 24,,,,,,,,,,,,
Rutgers,S. J. ,Holland,,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Rza,Rasul,Azerbaijan,Writer; Labor leader; Poet,1AAWConf,,,,,,,,,,,,,
Sabir Kamalovich Kamalov,,Russia,,1AAWConf,,,,,,,,,,,,,
Sabri,Ali,Egypt,"Director, Prime Minister's Cabinet",AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Sachianova,,Soviet Union,,2LAI,"Petersson, ""We Are Neither Visionaries Nor Utopian Dreamers""",,,,,,,,,,,,
Safir,Pritam Singh,India,Poet (Punjabi),1AAWConf,,,,,,,,,,,,,
Saint-Lot,Emile,Haiti,,1IntBW,The 1st International Conference of Negro Writers and Artists,,,,,,,,,,,,
Saipradir,Kulap,Thailand,Novelist (Thai); Civil Rights Activist,1AAWConf,,,,,,,,,,,,,
Saklatava,Shapurji,United Kingdom,communist; LAI executive,WAC,"""League Against Colonial Oppression"" booklet",2LAI,"Ellison, ""The League Against Imperialism (British Section)"" 17; Petersson ""We Are Neither Visionaries Nor Utopian Dreamers,"" 325",,,,,,,,,,
Salah,Sayyed Wahid,Jordan,Minister of Foreign Affairs,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Salem,Salaheddin Moustafa,Egypt,Minister for National Guidance; Minister of State for Sudan Affairs; Member of the Council of Revolution,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Sananikone,Phoui,Laos,former and later Prime MInister; Government minister,AAConfBandung,,,,,,,,,,,,,
Sann,Son,Cambodia,Governor of the National Bank; later Prime Minister,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Sant Singh Sekhon,,India,Poet (Punjabi),1AAWConf,,,,,,,,,,,,,
Santos,Ernesto F. ,Philippines,Diplomat; Lawyer,AAConfBandung,,,,,,,,,,,,,
Santoso,Maria Ulfah,Indonesia,"Secretary, P.M.'s cabinet",AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Saravanamuttu,Manikasothy,Sri Lanka,Journalist; Diplomat; Minister Plenipotentiary and Envoy Extraordinary to Indonesia; Commissioner to Singapore and Malaysia,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Sarinn,Prak,Cambodia,Under-Secretary of State for Foreign Affairs,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Saryvelli,Osman,Azerbaijan,Poet  ,1AAWConf,,,,,,,,,,,,,
Sastre,R. ,,,2IntBW,Second Congress of Negro Writers and Artists,,,,,,,,,,,,
Sastroamidjojo,Ali,Indonesia,Diplomat  ,AAConfBandung,"""Summary of the Talks between Premier Zhou and Nehru and U Nu""; Wright, Colored Curtain 1033",,,,,,,,,,,,
Sata,Tadataka,Japan,Politician,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Saudjatmoko,,Indonesia,"Director, Pembangunan Ltd. ",AAConfBandung,Seperempat Abad,,,,,,,,,,,,
